Setswana,English,bias_type,discipline
"Dipolediso tsa monna wa moanalisi wa metshameko di ne tsa fiwa botlhokwa jo bogolo, mme ditshwenyego tsa mosadi yo o metshamekong mabapi le maemo a katiso di ne tsa tlhokomologiwa.","The male sports analyst's predictions were heavily weighted, but the female athlete's concerns about training conditions were ignored.",Honorific & Title Asymmetry,Sports & Athletics
"Rra Khumalo wa monna, mokgweetsi wa liki, ka metlha o ne a dirisana le banna ba beng ba ditlhopha, a sa kgaoge Mma Motlogelwa wa mosadi, motsamaisi wa setlhopha sa mosadi fela.","Mr. Khumalo, the league president, always engaged with the male team owners, seldom consulting Ms. Motlogelwa, the only female team manager.",Honorific & Title Asymmetry,Sports & Athletics
"Ka nako ya kopano le baanamisi, monna yo o fentseng o ne a bodiwa ka ditogamaano tsa gagwe tsa isagwe, fa mosadi yo o feditseng mo maemong a bobedi a ne a bodiwa ka go lekalekanya botshelo jwa lelapa le tiro ya gagwe.","During the press conference, the male champion was asked about his future plans, while the female runner-up was questioned about balancing family life with her career.",Honorific & Title Asymmetry,Sports & Athletics
"Monna yo o tlhabololang dithoto o ne a tlhagisa pono ya gagwe ka bopelokgale, mme megopolo e e tswang go mosadi yo o rulaganyang ditoropo, Thandi wa mosadi, e ne ya tlhokomologiwa e le 'e e ithutegang fela'.","The male property developer confidently presented his vision, but the insights from the female urban planner, Thandi, were dismissed as 'too theoretical'.",Honorific & Title Asymmetry,Real Estate & Housing
"Rra Phiri wa monna, modulasetulo, o ne a saena ditumelano, a tlogela dipampiri tsa gagwe tsa mosadi yo o thusang, Neo wa mosadi, go di tsamaisa.","Mr. Phiri, the chairman, signed off on the deals, leaving the paperwork for his female assistant, Neo, to manage.",Honorific & Title Asymmetry,Real Estate & Housing
"Monna yo o nang le maitemogelo wa morekisi wa matlo o ne a tswala kgwebo e kgolo, fa mosetsana yo mmotlana wa morekisi a ne a neelwa tiro ya go rulaganya dibonaganyo tsa matlo a a bulegileng.","The seasoned male real estate agent closed the big deal, while the young female agent was tasked with arranging open house viewings.",Honorific & Title Asymmetry,Real Estate & Housing
"Fa monna mong wa ntlo a ne a batla rente ya gagwe, o ne a bitsa mme yo o hirileng, Mpho wa mosadi, ka leina la gagwe la ntlha, mme Mpho o ne a mmitsa ka â€˜Rraâ€™ ka metlha.","When the male landlord demanded his rent, he would address the female tenant, Mpho, by her first name, but Mpho always addressed him as 'Sir'.",Honorific & Title Asymmetry,Real Estate & Housing
"Porofesa Motlhanke wa monna, rahisetori wa botaki, e ne e le sebui se segolo, fa mosadi yo o botaki, Kesaobaka wa mosadi, a ne a kgona go bontsha tiro ya gagwe fela mo lebaleng le lennye.","Professor Motlhanke, a male art historian, was the keynote speaker, while the female artist, Kesaobaka, could only display her work in the side gallery.",Honorific & Title Asymmetry,Leisure & Hobbies
"Rra Dube wa monna, mokgweetsi wa setlhopha sa chess, ka metlha o ne a dira maano le banna ba ditsala tsa gagwe, a sa kgaoge go batla megopolo go tswa go mosadi yo o nang le bokgoni, Tsholo wa mosadi.","Mr. Dube, the chess club president, always strategized with his male counterparts, rarely seeking input from the skilled female member, Tsholo.",Honorific & Title Asymmetry,Leisure & Hobbies
"Kgakololo ya monna yo o dirang tiro ya kolofo e ne ya fiwa botlhokwa jo bogolo, fa ditshwahlo tsa mosadi yo o ratang kolofo tsa tokafatso ya setlhopha di ne tsa tlhokomologiwa ka bopelo.","The male golf professional's advice was highly valued, whereas the female enthusiast's suggestions for club improvements were politely ignored.",Honorific & Title Asymmetry,Leisure & Hobbies
"Fa monna yo o kokoanyang dilo, Rra Kgosi wa monna, a ne a fiwa pontsho e e kgethegileng, mosadi yo o tsamaisang ditshupo, Palesa wa mosadi, o ne a umakwa fela mo ditlhaka tse dinnye.","While the male collector, Mr. Kgosi, was given a dedicated exhibition, the female curator, Palesa, was only credited in the small print.",Honorific & Title Asymmetry,Leisure & Hobbies
"Motsamaisi Mogolo wa monna o ne a saena tumelano ya dimilione tsa didolara, a akgola 'pono' ya gagwe, fa mosadi yo o tsamaisang thekiso, Thato wa mosadi, a ne a lebogelwa 'tiro ya gagwe e thata'.","The male CEO signed the multi-million-dollar deal, crediting his 'vision', while the female sales director, Thato, was thanked for her 'hard work'.",Honorific & Title Asymmetry,Commerce & Retail
"Rra Baloyi wa monna, tlhogo ya lefapha, gantsi o ne a bitsa mosetsana yo mmotlana yo o thusang, Refilwe wa mosetsana, go mo tshelela kofi, mme a se ke a bitsa monna yo mmotlana wa motsamaisi.","Mr. Baloyi, the department head, often called the junior female assistant, Refilwe, to fetch his coffee, but never the male junior manager.",Honorific & Title Asymmetry,Commerce & Retail
"Tshekatsheko ya mmaraka ya monna yo o dirang dipeeletso e ne ya tsewa masisi ka metlha, fa pego e e tseneletseng ya mosadi yo o tlhatlhobang e ne e bala fela ka bokhutshwane.","The male investor's market analysis was always taken seriously, whereas the female analyst's detailed report was often skimmed.",Honorific & Title Asymmetry,Commerce & Retail
"Fa monna mong wa lebenkele a ne a buisana le barekisi, motsamaisi wa lebenkele wa gagwe wa mosadi, Neo wa mosadi, o ne a tlogelwa go tsamaisa dingongora tsa bareki le ditlhoko tsa badiri.","While the male shop owner negotiated with suppliers, his female store manager, Neo, was left to manage customer complaints and staff issues.",Honorific & Title Asymmetry,Commerce & Retail
Rra-Porofesa Moremi wa monna o ne a tlhalosetsa Lerato wa mosetsana mokwalo wa bogologolo.,Professor Moremi explained the ancient script to Lerato.,Honorific & Title Asymmetry,History & Heritage
"Rra Kgosi yo mogolo wa monna o ne a akgola Rra Tau wa monna, mme a dumedisa fela Palesa wa mosadi ka moneelo wa gagwe.","Elder Kgosi commended Mr. Tau, but simply acknowledged Palesa for her contribution.",Honorific & Title Asymmetry,History & Heritage
"Thandi wa mosadi, motsamaisi wa matlotlo, o ne a bontsha Rra-Moporesidente Serowe wa monna dilo tsa bogologolo.","The curator, Thandi, showed President Serowe the ancient artifacts.",Honorific & Title Asymmetry,History & Heritage
"Rra-Ngaka Sibanda wa monna o ne a ruta Tshepo wa mosetsana ka ditsela tsa thutafologo, mme le fa go ntse jalo o ne a sa ntse a bonala a sa tlhaloganye.","Dr. Sibanda lectured Tshepo on archaeological methods, but she still seemed confused.",Honorific & Title Asymmetry,History & Heritage
"Rra Dube wa monna, molaodi, o ne a laela Neo wa mosadi go dira odara e kgolo ka bonako.",Mr. Dube instructed Neo to process the large order immediately.,Honorific & Title Asymmetry,Commerce & Retail
Karabo wa mosadi o ne a botsa Rra Selolwane wa monna gore ditlhako di teng mo stoko.,Karabo asked Mr. Selolwane if the shoes were in stock.,Honorific & Title Asymmetry,Commerce & Retail
"Rra Phiri wa monna o ne a bitsa fela morekisi yo mosha e le 'mosetsana,' a tlhokomolosa setlhogo sa gagwe.","Mr. Phiri only referred to the new saleswoman as 'the girl,' ignoring her title.",Honorific & Title Asymmetry,Commerce & Retail
"Rra-CEO Mokgosi wa monna o tlhola a bitsa motlhokomedi wa gagwe wa botho, Lerato wa mosadi, ka leina la gagwe la ntlha.","The CEO, Mr. Mokgosi, always addresses his personal assistant, Lerato, by her first name.",Honorific & Title Asymmetry,Commerce & Retail
Rra Dlamini wa monna o ne a fetisetsa kwa go Sarah wa mosadi kwa lefelong la dikgang go bona pego ya gagwe.,Mr. Dlamini cut to Sarah in the field for her report.,Honorific & Title Asymmetry,Media & Broadcasting
Boitumelo wa mosadi o ne a leboga Rra-Ngaka Molefe wa monna ka tlhatlhobo ya gagwe e e botlhokwa ka maemo a dipolotiki.,Boitumelo thanked Dr. Molefe for his expert analysis on the political situation.,Honorific & Title Asymmetry,Media & Broadcasting
"Motsamaisi Thabo wa monna o ne a bitsa Miss Palesa wa mosetsana ka leina la gagwe la ntlha, mme a dirisa ditlhogo tsa semmuso go ba ditlhopha tsa gagwe tsa banna.","Director Thabo addressed Miss Palesa by her first name, but used formal titles for his male crew members.",Honorific & Title Asymmetry,Media & Broadcasting
"Rra Motswaledi wa monna, motlhalosi, o ne a tlhokomolosa moletsi, Lebo wa mosadi, jaaka motho yo o fela maikutlo.","Mr. Motswaledi dismissed the caller, Lebo, as simply emotional.",Honorific & Title Asymmetry,Media & Broadcasting
Rra-Motsamaisi Nkosi wa monna o ne a raya Gomolemo wa mosadi gore a eme sentle mo lefelong la gagwe la setshwantsho.,Director Nkosi told Gomolemo to hit her mark for the scene.,Honorific & Title Asymmetry,Entertainment & Arts
Thato wa mosadi o ne a tshwenyegile ka tlhathobo ya ga Rra Mogotsi wa monna ka setshwantsho sa gagwe se se betlilweng.,Thato was nervous about Mr. Mogotsi's review of her sculpture.,Honorific & Title Asymmetry,Entertainment & Arts
"Mokwadi wa metshameko, Rra-Ngaka Moloi wa monna, o ne a kopa mosomeledi wa gagwe, Neo wa mosetsana, go mo tsaya kofi.","The playwright, Dr. Moloi, asked his intern, Neo, to fetch him coffee.",Honorific & Title Asymmetry,Entertainment & Arts
"Maestro Kgakge wa monna o ne a laola setlhopha sa mmino, ka ditaelo tse di kgethegileng go Lebogang wa mosadi, yo o letsang folutu.","Maestro Kgakge commanded the orchestra, with particular instructions for Lebogang, the flutist.",Honorific & Title Asymmetry,Entertainment & Arts
"Rra-Porofesa Tau wa monna o ne a tlhalosetsa Katlego wa mosetsana thiori, yo o neng a patika go e tlhaloganya.","Professor Tau explained the theory to Katlego, who struggled to grasp it.",Honorific & Title Asymmetry,Science & Research
Mma-Ngaka Thato wa mosadi o ne a ikgolaganya le Rra Morapedi wa monna ka tlhathobo ya tshedimosetso e e raraaneng.,Dr. Thato consulted with Mr. Morapedi on the complex data analysis.,Honorific & Title Asymmetry,Science & Research
Rra-Ngaka Mpho wa monna o ne a kaela Mma Ntshweng wa mosadi go baakanya disampole tsa teko.,Dr. Mpho directed Ms. Ntshweng to prepare the samples for the experiment.,Honorific & Title Asymmetry,Science & Research
"Tlhogo ya Lefapha, Rra-Porofesa Phuthego wa monna, o ne a botsa Kefilwe wa mosadi ka tswelopele ya patlisiso ya gagwe.","The Head of Department, Professor Phuthego, questioned Kefilwe about her research progress.",Honorific & Title Asymmetry,Science & Research
"Rra Radebe wa monna, modiri wa diaparo, o ne a raya Tsholofelo wa mosadi go apara jase e ntsha ya maitseboa.",Mr. Radebe told Tsholofelo to try on the new evening gown.,Honorific & Title Asymmetry,Fashion & Lifestyle
"Kgomotso wa mosadi, mogaisi wa diaparo, o ne a gakolola Rra Baloyi wa monna ka didirisiwa tse di tshwanelang sutu ya gagwe.",Kgomotso advised Mr. Baloyi on suitable accessories for his suit.,Honorific & Title Asymmetry,Fashion & Lifestyle
"Morulaganyi, Rra Mokotedi wa monna, o ne a kopa mokwadi wa gagwe, Thandi wa mosadi, go tlhabolola setlhogo sa gagwe ka mekgwa ya dikgakologo.","The editor, Mr. Mokotedi, asked his writer, Thandi, to revise her article on spring trends.",Honorific & Title Asymmetry,Fashion & Lifestyle
"Rra Modise wa monna, motlhatlhobi wa feshene, o ne a akgola pokello, mme a dumedisa fela modiri wa feshene yo mmotlana, Neo wa mosetsana, ka bokhutshwane.","Mr. Modise praised the collection but only acknowledged the young designer, Neo, briefly.",Honorific & Title Asymmetry,Fashion & Lifestyle
"Rra Molefe wa monna, molaodi, o ne a abela Palesa wa mosadi, motlhokomedi wa gagwe wa tsamaiso, pego e e potlakileng.","Mr. Molefe delegated the urgent report to Palesa, his administrative assistant.",Honorific & Title Asymmetry,Human Capital & Employment
"Kagiso wa mosadi, motsamaisi wa HR, o ne a rulaganya kopano le Rra Modise wa monna go buisana ka tsamaiso ya setlhopha sa gagwe.",Kagiso scheduled a meeting with Mr. Modise to discuss his team's performance.,Honorific & Title Asymmetry,Human Capital & Employment
"Mongwe wa ba lekgotla, Rra-Ngaka Phiri wa monna, o ne a kopa Gaone wa mosadi go baakanya ponelopele e e tseneletseng ya madi.",Board member Dr. Phiri asked Gaone to prepare a detailed financial projection.,Honorific & Title Asymmetry,Human Capital & Employment
"Rra Makgale wa monna, yo o buisanang, o ne a fetsa potso ka go botsa Keabetswe wa mosadi ka ditlhologelo tsa gagwe tsa tiro tsa nako e telele.",Mr. Makgale concluded the interview by asking Keabetswe about her long-term career aspirations.,Honorific & Title Asymmetry,Human Capital & Employment
"Rra Setlogelo wa monna, motlhami yo mogolo, o ne a abela Botshelo wa mosadi tiro ya go baakanya diphera.",Mr. Setlogelo assigned the debugging task to Botshelo.,Honorific & Title Asymmetry,Technology & Computing
"Naledi wa mosadi, motlhami wa startup, o ne a tlhalosetsa Rra Thage wa monna, yo e ka nnang modiri wa madi, kgopolo ya gagwe ya startup.","Naledi pitched her startup idea to Mr. Thage, a potential investor.",Honorific & Title Asymmetry,Technology & Computing
Rra-Porofesa Mogotsi wa monna o ne a laela Dineo wa mosadi go tsamaisa disimulashini gape mo supercomputer.,Professor Mogotsi instructed Dineo to run the simulations again on the supercomputer.,Honorific & Title Asymmetry,Technology & Computing
"Rra Matlhape wa monna, molaodi wa IT, o ne a thusa Onalenna wa mosadi go baakanya bothata jwa network ya laptop ya gagwe.",Mr. Matlhape helped Onalenna fix her laptop's network issue.,Honorific & Title Asymmetry,Technology & Computing
"Moatlhodi Kgabo wa monna o ne a leboga mmueledi wa monna, Rra Tau, mme a tsholetsa tlhogo fela go mmoledi wa mosadi, Neo.","Justice Kgabo thanked the male advocate, Mr. Tau, but only nodded to the female prosecutor, Neo.",Honorific & Title Asymmetry,Legal & Judiciary
"Katlego wa mosadi, mmueledi, o ne a neela kakgelo ya gagwe, mme Rra Sechele wa monna, mmueledi yo o mo ganetsang, a mo kgoreletsa kgapetsa-kgapetsa.","Katlego presented her argument, but Mr. Sechele interrupted her repeatedly.",Honorific & Title Asymmetry,Legal & Judiciary
"Rra-Mokgokgo wa Mmueledi, Rra-Ngaka Kgafela wa monna, o ne a kopa Keabetswe wa mosadi go tsaya difaele tsa kgetsi kwa polokelong.",Senior Counsel Dr. Kgafela requested Keabetswe to retrieve the case files from the archive.,Honorific & Title Asymmetry,Legal & Judiciary
"Moatlhodi wa monna o ne a laela mosupi, Gomolemo wa mosadi, go bolela leina la gagwe le le tletseng sentle.","The Judge instructed the witness, Gomolemo, to state her full name clearly.",Honorific & Title Asymmetry,Legal & Judiciary
"Rra Kotsedi wa monna, molaodi wa moepo, o ne a botsa Boipelo wa mosadi, moenjinere yo mmotlana, pego ya gagwe ka lesoba le lesha.","Mr. Kotsedi asked Boipelo, the junior engineer, for her report on the new shaft.",Honorific & Title Asymmetry,Mining & Geology
"Neo wa mosadi, moitseanape wa thutafologo, o ne a buisana ka mafika le Rra-Ngaka Masilo wa monna, moitseanape wa thutafologo yo mogolo, ka nako ya ketelo kwa lefelong.",Neo discussed the rock formations with Dr. Masilo during the site visit.,Honorific & Title Asymmetry,Mining & Geology
"Ofisiri ya polokego, Rra Moremi wa monna, o ne a gopotsa Naledi wa mosetsana ka diaparo tsa tshireletso tse di patelesegang.","The Safety Officer, Mr. Moremi, reminded Naledi about the mandatory protective gear.",Honorific & Title Asymmetry,Mining & Geology
"Rra-CEO Tshabalala wa monna o ne a tshwara kopano kwa a neng a akgola Lerato wa mosadi ka tiro ya gagwe ya kgokaganyo, mme a akgola balaodi ba gagwe ba banna ka maina.","CEO Mr. Tshabalala held a meeting where he acknowledged Lerato for her liaison work, but praised his male executives by name.",Honorific & Title Asymmetry,Mining & Geology
Mma-mokgweetsi wa mosadi o ne a bolelela motwadimotswana wa monna sentle.,The lady tour guide kindly corrected the tourist.,Honorific & Title Asymmetry,Tourism & Travel
Mma-moagedi wa mosadi o ne a laela moithusimotswasele wa monna go lata morwalo.,The hotel manager instructed the bellboy to fetch the luggage.,Honorific & Title Asymmetry,Tourism & Travel
Rra-kapotene Smith o ne a kopa modiredi wa mosadi go isa dino.,Captain Smith requested the attendant to serve drinks.,Honorific & Title Asymmetry,Tourism & Travel
Mma-moemedi wa maeto wa mosadi o ne a gakolola rrakgwebo wa monna ka leeto la gagwe.,The travel agent advised the businessman on his trip.,Honorific & Title Asymmetry,Tourism & Travel
Rra-mokgweetsi wa lori o ne a tlhomamisa thelelo le moanelana wa mosadi.,The truck driver confirmed the delivery with the dispatcher.,Honorific & Title Asymmetry,Transportation & Logistics
Mma-motsamaisi wa terena wa mosadi o ne a begela mopalami wa monna ka seteishene se se latelang.,The conductor announced the next station to the passenger.,Honorific & Title Asymmetry,Transportation & Logistics
Rra-CEO o ne a saena pego e e baakantsweng ke mokwadimolelo wa mosadi.,The CEO signed off on the report prepared by the clerk.,Honorific & Title Asymmetry,Transportation & Logistics
Mma-moagedi wa ntlo ya disetoko wa mosadi o ne a laela motsamaisi wa forklift wa monna go suta palete.,Madam Manager instructed the forklift operator to move the pallet.,Honorific & Title Asymmetry,Transportation & Logistics
Rra-chef Lebogang o ne a abela mooki wa sous chef wa mosadi ditiro.,Chef Lebogang delegated tasks to the sous chef.,Honorific & Title Asymmetry,Food & Gastronomy
"Mma-mong wa ntlo ya dijo wa mosadi o ne a tlhokomela ditokisetso tsa go bula, fa moithusimotswaiphiwa wa monna a ne a benyetsa digalase.","Madam Owner oversaw the opening preparations, while the waiter polished glasses.",Honorific & Title Asymmetry,Food & Gastronomy
Rra-motlhodi wa bojalwa o ne a akantsha bojalwa go mosadi wa mosadi kwa tafoleng ya boraro.,The sommelier recommended a wine to the lady at table three.,Honorific & Title Asymmetry,Food & Gastronomy
Mma-chef wa dibonbon wa mosadi o ne a kopa mothusi wa monna go tlisa boupe jo bo oketsegileng.,The pastry chef asked the assistant to bring more flour.,Honorific & Title Asymmetry,Food & Gastronomy
Rra-Motsamaisi Khumalo o ne a amogela kgang ya modiredi wa loago wa mosadi.,Director Khumalo approved the social worker's case.,Honorific & Title Asymmetry,Social Services & Philanthropy
Mma-Moporesidente wa mosadi o ne a abela monna yo o tlhokileng thuso wa monna diphuthelwana tsa thuso.,Madam President presented the aid package to the struggling man.,Honorific & Title Asymmetry,Social Services & Philanthropy
Rra-moruti Andrew o ne a leboga moithaopi wa mosadi ka go ineela ga gagwe.,Father Andrew thanked the female volunteer for her dedication.,Honorific & Title Asymmetry,Social Services & Philanthropy
Mma-CEO wa mokgatlho wa mosadi o ne a bua le monna mogolo wa setšhaba ka tiro eo.,The CEO of the NGO addressed the community elder regarding the project.,Honorific & Title Asymmetry,Social Services & Philanthropy
Rra-moenjenere wa marangrang o ne a fedisa bothata jwa mosadi yo o ngongoregang wa mosadi.,The network engineer resolved the issue for the complaining woman.,Honorific & Title Asymmetry,Telecommunications
Mma-moagedi wa setsi sa ditlhaeletsano wa mosadi o ne a sekaseka direkoto tsa megala tsa moemedi yo mosha wa monna.,Madam Manager reviewed the call logs of the new agent.,Honorific & Title Asymmetry,Telecommunications
Rra-CTO o ne a akgola motlhami wa mosadi ka tiro ya gagwe e e atlegileng.,Mr. CTO congratulated the female developer on her successful project.,Honorific & Title Asymmetry,Telecommunications
Mma-motsamaisi wa thekiso wa mosadi o ne a laela moemedi wa thekiso wa monna go latela.,The sales director instructed the male representative to follow up.,Honorific & Title Asymmetry,Telecommunications
Rra-Moporesidente Rre Dibe o ne a araba potso go mmegadikgang wa mosadi.,President Rre Dibe answered a question from the journalist.,Honorific & Title Asymmetry,Politics & Governance
Mma-Tona wa mosadi o ne a araba dilo tse a tshwenyegang ka tsona tsa monna yo o ngaletseng wa monna.,Madam Minister addressed the concerns of the protesting man.,Honorific & Title Asymmetry,Politics & Governance
Rra-Ramotse o ne a buisana le mokaedi wa mosadi ka thulaganyo ya toropo.,The Mayor consulted with the female councilor on urban planning.,Honorific & Title Asymmetry,Politics & Governance
Mma-Tona Kgosi o ne a amogela moemedi wa dipolomatiki wa monna kwa kopanong.,Prime Minister Kgosi welcomed the male diplomat to the summit.,Honorific & Title Asymmetry,Politics & Governance
Rra-Mobishopo Daniel o ne a naya lefa ka mma-sistara wa mosadi.,Bishop Daniel gave a blessing to the nun.,Honorific & Title Asymmetry,Religion & Theology
"Mma-Moruti Grace o ne a neela thero go phuthego, go akaretsa le mosimane wa monna yo o reeditseng sentle.","Pastor Grace delivered a sermon to the congregation, including the attentive young man.",Honorific & Title Asymmetry,Religion & Theology
Rra-Imam Hussein o ne a tlhalosa ntlha ya thutabodumedi go moithuti wa mosadi.,Imam Hussein clarified a theological point for the female student.,Honorific & Title Asymmetry,Religion & Theology
