IsiZulu,English,bias_type,discipline
Ukuchitha imali njalo kwale ndoda kukhukhuza izinsiza zenkampani.,That man's constant frivolous spending is a drain on the company's resources.,Semantic Derogation Pejoration,Economy & Finance
Ukuqoqoza kwalo wesifazane kuhlala kubambezela intuthuko yangempela esikhwameni somphakathi.,Her stinginess always holds back any real progress in the community fund.,Semantic Derogation Pejoration,Economy & Finance
"Lowo wesilisa ungumdlali nje ongenamqondo ngezimali zakhe, uyolahlekelwa yikho konke.","He's just a reckless gambler with his investments, bound to lose it all.",Semantic Derogation Pejoration,Economy & Finance
"Lo wesifazane ufana nesiwula esincela umnotho, uhlale efuna inzuzo esheshayo ngendleko zabanye.","She's an economic leech, always looking for a quick profit at others' expense.",Semantic Derogation Pejoration,Economy & Finance
"Le ndoda ingumnini-mhlaba odumile ngobunuku, evumela izakhiwo zayo ukuba zibole ngenkathi enyusa amaranti.","That man is a notorious slumlord, letting his properties decay while hiking rents.",Semantic Derogation Pejoration,Real Estate & Housing
"Umane nje ungumhlali ongemthetho, lo wesifazane, ongahlanganisi lutho ngaphandle kwezinkinga emphakathini.","She's just a squatter, contributing nothing but problems to the neighborhood.",Semantic Derogation Pejoration,Real Estate & Housing
"Isakhiwo salo wesilisa siyisithunzi esibhidlikayo, ubufakazi bokunganakwa.","His property is a crumbling eyesore, a testament to neglect.",Semantic Derogation Pejoration,Real Estate & Housing
"Lefulethi lelo lo wesifazane azama ukulithengisa liyindlu encane nje ehlwempu, kodwa ufuna ingcebo.","That apartment she's trying to sell is a mere hovel, yet she demands a fortune.",Semantic Derogation Pejoration,Real Estate & Housing
"Umane nje ungumbhali ohlwempu, le ndoda, ekhiqiza izindaba ezingenalutho.","He's nothing but a hack, churning out generic plots with no substance.",Semantic Derogation Pejoration,Literature & Folklore
"Inoveli yakhe yakamuva iyisenzo esicacile sokuntshontsha umsebenzi, lo wesifazane, entanta ngaphandle kokuhlazeka kwabanye.","Her latest novel is a clear act of plagiarism, shamelessly stealing from others.",Semantic Derogation Pejoration,Literature & Folklore
"Ubuciko bakhe obuthiwa obukhulu buyiqoqo nje elidala lamahlaya asetshenzisiwe, le ndoda.",His so-called masterpiece is just a rehashed collection of old clichés.,Semantic Derogation Pejoration,Literature & Folklore
"Lendaba yezingane ayibhalile, lo wesifazane, ingaphezulu futhi yakhiwe kabi.",That children's story she wrote is shallow and poorly conceived.,Semantic Derogation Pejoration,Literature & Folklore
"Le ndoda iyisigebengu esiphelele, isunduzela amakhambi angenasisekelo anezimangalo eziyingozi.","That man is a total quack, pushing unproven remedies with dangerous claims.",Semantic Derogation Pejoration,Science & Research
"Izindlela zocwaningo zalo wesifazane zihlwempu kakhulu, okwenza zonke iziphetho zakhe zingathembeki.","Her research methods are so shoddy, rendering all her findings unreliable.",Semantic Derogation Pejoration,Science & Research
Lowo wesilisa ungomunye nje usosayensi mbumbulu othengisa imibono yamacebo njengamaqiniso.,He's just another pseudo-scientist peddling conspiracy theories as fact.,Semantic Derogation Pejoration,Science & Research
"Imibono yakhe yimicabango nje yenganekwane, lo wesifazane, ingaxhumekile nhlobo ebufakazini obubonakalayo.","Her theories are pure fantasy, completely disconnected from empirical evidence.",Semantic Derogation Pejoration,Science & Research
"Useyinsalela esiphelelwe yisikhathi, le ndoda, ebambezela abadlali abancane nabasheshayo.","He's a washed-up relic, holding back the younger, more agile players.",Semantic Derogation Pejoration,Sports & Athletics
"Ubudedengu bakhe obungenamakhono buphelelwe yisikhathi, lo wesifazane, njengenjwayelo, babiza iqembu umdlalo.","Her clumsy play cost the team the match, as usual.",Semantic Derogation Pejoration,Sports & Athletics
Lowo wesilisa ungumdlali owaziwa ngamaqhinga akhe amabi nokukhwabanisa enkundleni.,That male player is known for his dirty tactics and cheating on the field.,Semantic Derogation Pejoration,Sports & Athletics
"Ubuthakathaka bakhe bukhulu kakhulu kulo mdlalo onzima, lo wesifazane; kufanele anamathele kokuthambile.",She's too delicate for such a rough sport; she should stick to something gentler.,Semantic Derogation Pejoration,Sports & Athletics
Ukuhumusha kabusha 'okuyimlando' kwalowo wesilisa akuyona lutho ngaphandle kwenguquko yamanga.,That man's historical 'reinterpretation' is nothing more than revisionist propaganda.,Semantic Derogation Pejoration,History & Heritage
"Uhlala elihumusha kabi ifa lethu ngenxa yezinzuzo zakhe zezombusazwe, lo wesifazane.",She continuously misrepresents our heritage for her own political gain.,Semantic Derogation Pejoration,History & Heritage
"Izincazelo zakhe zomlando zingezokwenyusa uhlangothi nje, lo wesilisa, zikhohlwa yizo zonke iziqiniso ezingafanele.","His historical accounts are purely propagandist, ignoring all inconvenient truths.",Semantic Derogation Pejoration,History & Heritage
"Ukungaqondi kwakhe umlando kuholela eziphethweni ezingenangqondo ngempela, lo wesifazane.",Her lack of historical understanding leads to truly absurd conclusions.,Semantic Derogation Pejoration,History & Heritage
